model_key,provider,model,symbol,start,end,bars,decisions,trades,win_rate,total_return,cagr,max_drawdown,sharpe,avg_trade_return,median_trade_return,equity_end,initial_equity,memory_trades,llm_fallbacks,memory_enabled
openai_gpt-5.2,openai,gpt-5.2,POLUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,21,0.47619047619047616,-0.1570597205001535,-0.15745529818346882,0.23893314590174708,-0.7855435657941511,-0.01777955863530893,-0.007649158592554825,8429.402794998465,10000.0,0,0,False
gemini_gemini-3-flash-preview,gemini,gemini-3-flash-preview,POLUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,52,0.2692307692307692,-0.48097916360218407,-0.481913430799253,0.5951146127095306,-0.8394584946928421,-0.06527475776500206,-0.06772255500886797,5190.2083639781595,10000.0,0,0,False
deepseek_deepseek-chat,deepseek,deepseek-chat,POLUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,10,0.6,-0.0016263649569598915,-0.0016308293472747648,0.17895223464145604,0.06933956478489438,0.00829286675989761,0.009506276714259116,9983.736350430401,10000.0,0,0,False
qwen_qwen-max,qwen,qwen-max,POLUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,39,0.38461538461538464,-0.29117669209602814,-0.2918465425022385,0.4190670301949797,-0.8092622443896713,-0.01801206126910416,-0.015378389316066362,7088.233079039719,10000.0,0,0,False
