model_key,provider,model,symbol,start,end,bars,decisions,trades,win_rate,total_return,cagr,max_drawdown,sharpe,avg_trade_return,median_trade_return,equity_end,initial_equity,memory_trades,llm_fallbacks,memory_enabled
openai_gpt-5.2,openai,gpt-5.2,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,32,0.53125,-0.03548455810806683,-0.035580287970862656,0.16706325751532447,-0.22457717142897904,0.0008892963721693814,0.002715710178681811,9645.154418919332,10000.0,0,0,False
gemini_gemini-3-flash-preview,gemini,gemini-3-flash-preview,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,50,0.4,-0.1992416219401556,-0.1997302786338545,0.4557216195327347,-0.25788927251287536,-0.027049238213028536,-0.0344177808716944,8007.583780598444,10000.0,0,3,False
deepseek_deepseek-chat,deepseek,deepseek-chat,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,30,0.4666666666666667,0.009486579220643776,0.009512764821778985,0.1607759856360228,0.14684397135040525,0.0025848897572209335,-0.00020943023184226384,10094.865792206438,10000.0,0,0,False
qwen_qwen-max,qwen,qwen-max,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,47,0.6382978723404256,0.16043528121007977,0.16090973854337953,0.2054587601718375,0.7325299296592014,0.022836752326624393,0.01820427978683101,11604.352812100798,10000.0,0,0,False
