model_key,provider,model,symbol,start,end,bars,decisions,trades,win_rate,total_return,cagr,max_drawdown,sharpe,avg_trade_return,median_trade_return,equity_end,initial_equity,memory_trades,llm_fallbacks,memory_enabled
openai_gpt-5.2,openai,gpt-5.2,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,26,0.5769230769230769,0.041894579840308976,0.04201205941067876,0.08680894172600429,0.4334420338057384,0.005887733586358524,0.002715710178681811,10418.94579840309,10000.0,122,0,True
gemini_gemini-3-flash-preview,gemini,gemini-3-flash-preview,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,50,0.34,-0.278806347464715,-0.2794536403427511,0.3425316390714791,-0.9348181002722266,-0.030627721870011695,-0.02946117112032975,7211.93652535285,10000.0,122,4,True
deepseek_deepseek-chat,deepseek,deepseek-chat,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,10,0.4,-0.015462620592907816,-0.015504769287653986,0.10567630006650996,-0.0973045832439945,-0.01215956928032209,-0.00754015878877402,9845.373794070922,10000.0,122,0,True
qwen_qwen-max,qwen,qwen-max,ETHUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,34,0.5588235294117647,-0.014835760904871154,-0.014876213818005746,0.1677891393310007,0.014307144820166514,0.0006566490463894925,0.00564015110527597,9851.642390951289,10000.0,122,0,True
