model_key,provider,model,symbol,start,end,bars,decisions,trades,win_rate,total_return,cagr,max_drawdown,sharpe,avg_trade_return,median_trade_return,equity_end,initial_equity,memory_trades,llm_fallbacks
openai_gpt-5.2,openai,gpt-5.2,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,23,0.6086956521739131,0.01152019958981576,0.011552030595393559,0.04644340921888457,0.20707790996636297,0.006924282771147264,0.011676311179816877,10115.201995898158,10000.0,122,0
gemini_gemini-2.0-flash,gemini,gemini-2.0-flash,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,26,0.4230769230769231,-0.11550801796411325,-0.1158062208839673,0.1732098821057918,-1.2693902949660638,-0.008558583209225977,-0.0010873323895078909,8844.919820358868,10000.0,122,0
deepseek_deepseek-chat,deepseek,deepseek-chat,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,10,0.5,0.05288832663602827,0.053037411063219464,0.07417874574791683,0.7593849383381388,0.012663215692051024,0.010292846821562129,10528.883266360283,10000.0,122,0
qwen_qwen-max,qwen,qwen-max,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,36,0.6388888888888888,0.10162954018959414,0.10192251116190332,0.11390087743536481,0.7995008699263404,0.011273095691049107,0.013270671111981089,11016.29540189594,10000.0,122,0
