model,symbol,side,entry_time,exit_time,entry_price,exit_price,size_qty,return_pct,bars_held,memory_matches,memory_ids
gpt-5.2,BTCUSDT,long,2025-01-08 06:45:00+00:00,2025-01-11 06:45:00+00:00,95774.0,94377.77,0.03654436485893875,-1.457838244199883,288,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;1809222d21524cafa77a6c8ff0795d0d
gpt-5.2,BTCUSDT,long,2025-02-10 06:45:00+00:00,2025-02-13 06:45:00+00:00,97027.73,96165.01,0.03073976892997497,-0.8891478755609363,288,3,fd5eb41ac4ae4e458b6801f33f3a5fb8;39917a12327c4b96b6d249c017be99e8;75d7d052093f409fb54a4100fb5605b9
gpt-5.2,BTCUSDT,long,2025-02-22 06:45:00+00:00,2025-02-25 06:45:00+00:00,96353.13,91584.84,0.04113857017410851,-4.948765027145467,288,3,93ea52ef8f274538acc49e2b1f4cc5f3;c544a0f07d7d4da39f90e491db714cd1;dab3174f8826406f8419e78b9259867b
gpt-5.2,BTCUSDT,long,2025-03-18 06:45:00+00:00,2025-03-21 06:45:00+00:00,82319.14,84221.95,0.023747,2.311503740199421,288,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;b050fc4de0a64199a061981adb70eece
gpt-5.2,BTCUSDT,long,2025-03-18 06:45:00+00:00,2025-03-24 06:45:00+00:00,82319.14,86994.66,0.011623874865796701,5.679748354999827,576,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;b050fc4de0a64199a061981adb70eece
gpt-5.2,BTCUSDT,long,2025-04-11 06:45:00+00:00,2025-04-14 06:45:00+00:00,81170.95,84541.75,0.04804674578774796,4.152717197470281,288,3,4cb7ee539e2a4b8d85e4ece814309de5;339717ffc1624a219896f0b67faff306;d537e226d66a439d93d45ae99c85a6d9
gpt-5.2,BTCUSDT,long,2025-04-17 06:45:00+00:00,2025-04-20 06:45:00+00:00,84755.1,84969.98,0.052846141412139204,0.25353046601324297,288,3,2522e6b2366b463bb002a3eeeaabab31;c99eca6f8aac457c8c1c7858e59cdbb4;4f94191ecc834e21bd871e63b1e450e7
gpt-5.2,BTCUSDT,long,2025-05-17 06:45:00+00:00,2025-05-20 06:45:00+00:00,103478.49,105511.09,0.03841378048713312,1.9642729614628036,288,3,055fc9717c6447dc8cf25b3231bec010;fad5b5bc060145f1a67248f45327efa7;cf1daf5b03dd46308800c00901580adf
gpt-5.2,BTCUSDT,long,2025-06-07 06:45:00+00:00,2025-06-10 06:45:00+00:00,104895.99,109570.31,0.03822834409589918,4.456147465694343,288,3,d94ed17f0b524b279b4ab22af98ae27a;b2940e542f3b442d915cd8fc3c72c66a;2ee2b33f48c14caaab50d7ec09574ce6
gpt-5.2,BTCUSDT,long,2025-06-22 06:45:00+00:00,2025-06-25 06:45:00+00:00,102728.01,106438.13,0.03969706022729341,3.611595318550423,288,3,aa17de6c446f4de69b3faeb74201e236;4879cbeabf1e4b12b2ec726f55ae93c2;8e74c73d59ac4a76a2eaddf37ead81b3
gpt-5.2,BTCUSDT,long,2025-06-28 06:45:00+00:00,2025-07-01 06:45:00+00:00,107396.98,106828.61,0.0384934473948895,-0.5292234474377169,288,3,85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a;af97078b3f104c0b9cc11444546ad275
gpt-5.2,BTCUSDT,long,2025-07-13 06:45:00+00:00,2025-07-19 06:45:00+00:00,118082.61819174257,118097.98,0.05607954922922833,0.013009373007363665,576,3,fa7082a6e96d4ed69b3f0222b9b813b1;2522e6b2366b463bb002a3eeeaabab31;c99eca6f8aac457c8c1c7858e59cdbb4
gpt-5.2,BTCUSDT,long,2025-07-22 06:45:00+00:00,2025-07-25 06:45:00+00:00,117551.28,115379.72,0.035023608420086956,-1.8473299482574732,288,3,e26ec3d4fd3646f5b4f4ab314b187e4b;7c6d4ea0b9b04862afae854f4bf49334;75d7d052093f409fb54a4100fb5605b9
gpt-5.2,BTCUSDT,long,2025-07-28 06:45:00+00:00,2025-07-31 06:45:00+00:00,119477.64,118578.17,0.029880067935724206,-0.7528354259424618,288,3,4879cbeabf1e4b12b2ec726f55ae93c2;8e74c73d59ac4a76a2eaddf37ead81b3;aa17de6c446f4de69b3faeb74201e236
gpt-5.2,BTCUSDT,long,2025-08-06 06:45:00+00:00,2025-08-09 06:45:00+00:00,114057.55,116604.0,0.03568189918159736,2.2326009983556516,288,3,ce043225ce8e4c31abdf94d691309a0a;fd5eb41ac4ae4e458b6801f33f3a5fb8;39917a12327c4b96b6d249c017be99e8
gpt-5.2,BTCUSDT,long,2025-08-30 06:45:00+00:00,2025-09-02 06:45:00+00:00,108275.14,110424.03,0.037866494561909596,1.984656865832729,288,3,39102d61106b48a8951b6bc8dbd72427;aa17de6c446f4de69b3faeb74201e236;ef9ed871b5f94ceda88ca75d239f1315
gpt-5.2,BTCUSDT,long,2025-09-05 06:45:00+00:00,2025-09-08 06:45:00+00:00,111656.47,111165.65,0.03224175007502924,-0.4395804381062799,288,3,a6fde657712c437ea3e02e115724595e;0d9d03438f4b4c46bd225797c8c24378;4cb7ee539e2a4b8d85e4ece814309de5
gpt-5.2,BTCUSDT,long,2025-09-11 06:45:00+00:00,2025-09-14 06:45:00+00:00,114388.01,115723.64,0.03604293841636025,1.1676311179816876,288,3,0d9d03438f4b4c46bd225797c8c24378;85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a
