model_key,provider,model,symbol,start,end,bars,decisions,trades,win_rate,total_return,cagr,max_drawdown,sharpe,avg_trade_return,median_trade_return,equity_end,initial_equity,memory_trades,llm_fallbacks,memory_enabled
openai_gpt-5.2,openai,gpt-5.2,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,27,0.5555555555555556,-0.0659059630535328,-0.06608090495606589,0.1460617589451615,-0.6694034146490885,-0.00131351704315224,0.0025353046601324296,9340.940369464672,10000.0,0,0,False
gemini_gemini-3-flash-preview,gemini,gemini-3-flash-preview,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,50,0.46,-0.1578508956936393,-0.1582482736072831,0.2553283632993787,-0.8863774765499878,-0.01653156237778873,-0.006421752303989536,8421.491043063606,10000.0,0,0,False
deepseek_deepseek-chat,deepseek,deepseek-chat,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,29,0.6551724137931034,0.13647333318062183,0.13687282348777496,0.07278166574689893,1.1896140655548109,0.013956473950398061,0.011676311179816878,11364.733331806217,10000.0,0,0,False
qwen_qwen-max,qwen,qwen-max,BTCUSDT,2025-01-05 06:30:00+00:00,2026-01-05 06:15:00+00:00,35040,122,42,0.6190476190476191,-0.04356107449205482,-0.043678095371330716,0.23784015882225917,-0.17033033198218678,0.0073017297709695155,0.013270671111981089,9564.389255079452,10000.0,0,0,False
